feat_run_id,sheet_id,feature_id,output_weight,run_status,run_start_date,run_end_date
25,54,12,897,True,2023-09-04 00:00:00,2023-09-04 00:00:23.820000
26,104,10,4549,True,2022-07-27 00:00:00,2022-07-27 00:00:19.870000
27,48,8,4607,True,2023-01-13 00:00:00,2023-01-13 00:00:11.861000
28,37,8,4668,True,2022-04-02 00:00:00,2022-04-02 00:00:15.659000
29,93,4,3983,True,2022-09-25 00:00:00,2022-09-25 00:00:02.260000
30,94,9,2953,True,2022-11-05 00:00:00,2022-11-05 00:00:03.982000
31,11,3,690,True,2020-07-09 00:00:00,2020-07-09 00:00:08.799000
32,88,10,1163,True,2022-05-16 00:00:00,2022-05-16 00:00:04.722000
33,62,1,3768,True,2022-06-01 00:00:00,2022-06-01 00:00:23.435000
34,80,1,1593,True,2025-09-19 00:00:00,2025-09-19 00:00:12.229000
35,119,10,4355,True,2020-05-04 00:00:00,2020-05-04 00:00:13.485000
36,62,4,3953,True,2025-02-09 00:00:00,2025-02-09 00:00:08.114000
37,56,7,4711,True,2020-12-16 00:00:00,2020-12-16 00:00:19.358000
38,14,1,409,True,2021-05-19 00:00:00,2021-05-19 00:00:20.620000
39,91,4,1142,True,2024-04-11 00:00:00,2024-04-11 00:00:11.141000
40,92,9,3671,True,2024-02-09 00:00:00,2024-02-09 00:00:03.348000
41,110,6,4437,True,2021-09-09 00:00:00,2021-09-09 00:00:06.309000
42,16,12,273,True,2022-12-27 00:00:00,2022-12-27 00:00:11.424000
43,85,10,3960,True,2023-12-14 00:00:00,2023-12-14 00:00:14.352000
44,73,3,1344,True,2021-03-28 00:00:00,2021-03-28 00:00:08.995000
45,64,1,2391,False,2020-11-22 00:00:00,2020-11-22 00:00:04.456000
46,26,8,2984,True,2020-10-26 00:00:00,2020-10-26 00:00:10.142000
47,104,3,888,True,2024-03-04 00:00:00,2024-03-04 00:00:13.235000
48,88,4,3471,True,2020-02-08 00:00:00,2020-02-08 00:00:11.030000
49,58,7,1690,True,2021-04-19 00:00:00,2021-04-19 00:00:10.364000
50,38,3,4204,True,2023-01-28 00:00:00,2023-01-28 00:00:15.765000
51,41,10,4640,True,2025-10-29 00:00:00,2025-10-29 00:00:07.647000
52,65,6,622,True,2024-05-26 00:00:00,2024-05-26 00:00:22.924000
53,71,5,880,True,2024-05-05 00:00:00,2024-05-05 00:00:22.144000
54,116,8,97,True,2021-11-14 00:00:00,2021-11-14 00:00:01.396000
55,14,9,1753,True,2020-08-28 00:00:00,2020-08-28 00:00:09.387000
56,28,3,3798,True,2020-11-19 00:00:00,2020-11-19 00:00:00.120000
57,108,10,4037,True,2020-12-24 00:00:00,2020-12-24 00:00:06.690000
58,55,2,2005,True,2025-02-07 00:00:00,2025-02-07 00:00:19.954000
59,44,12,4512,True,2024-06-10 00:00:00,2024-06-10 00:00:02.318000
60,10,10,267,True,2021-04-28 00:00:00,2021-04-28 00:00:16.203000
61,44,5,157,False,2024-01-29 00:00:00,2024-01-29 00:00:12.209000
62,85,7,3237,True,2024-09-07 00:00:00,2024-09-07 00:00:12.189000
63,92,7,1063,True,2020-02-20 00:00:00,2020-02-20 00:00:14.536000
64,111,11,306,True,2021-12-10 00:00:00,2021-12-10 00:00:01.003000
65,54,11,625,True,2020-11-11 00:00:00,2020-11-11 00:00:13.849000
66,16,1,2865,True,2023-09-07 00:00:00,2023-09-07 00:00:16.583000
67,45,5,3319,True,2020-03-28 00:00:00,2020-03-28 00:00:03.744000
68,87,9,3727,True,2020-02-16 00:00:00,2020-02-16 00:00:05.189000
69,124,10,991,True,2024-09-10 00:00:00,2024-09-10 00:00:18.367000
70,69,7,628,True,2021-06-15 00:00:00,2021-06-15 00:00:22.948000
71,28,1,3980,True,2023-03-28 00:00:00,2023-03-28 00:00:03.295000
72,116,8,3585,True,2020-11-29 00:00:00,2020-11-29 00:00:18.183000
73,76,8,1269,True,2025-01-30 00:00:00,2025-01-30 00:00:00.707000
74,11,2,279,True,2024-02-19 00:00:00,2024-02-19 00:00:19.977000
75,105,7,717,True,2024-07-28 00:00:00,2024-07-28 00:00:21.871000
76,87,9,2293,True,2025-05-30 00:00:00,2025-05-30 00:00:15.485000
77,100,4,3293,True,2021-08-25 00:00:00,2021-08-25 00:00:16.934000
78,92,11,2300,True,2021-06-03 00:00:00,2021-06-03 00:00:16.510000
79,46,6,1488,True,2022-03-05 00:00:00,2022-03-05 00:00:24.327000
80,27,11,3599,True,2024-10-09 00:00:00,2024-10-09 00:00:12.824000
81,48,2,3342,True,2023-07-25 00:00:00,2023-07-25 00:00:08.608000
82,44,12,2032,True,2020-11-30 00:00:00,2020-11-30 00:00:04.855000
83,75,5,4429,True,2022-11-25 00:00:00,2022-11-25 00:00:09.472000
84,85,10,2906,True,2020-04-25 00:00:00,2020-04-25 00:00:21.744000
85,21,12,4232,True,2020-04-11 00:00:00,2020-04-11 00:00:05.476000
86,68,2,3379,True,2021-03-29 00:00:00,2021-03-29 00:00:00.131000
87,30,3,1388,True,2020-10-29 00:00:00,2020-10-29 00:00:17.730000
88,67,6,3726,True,2024-10-10 00:00:00,2024-10-10 00:00:02.592000
89,90,8,1692,True,2024-05-09 00:00:00,2024-05-09 00:00:12.968000
90,35,8,1582,True,2020-10-20 00:00:00,2020-10-20 00:00:17.101000
91,81,11,3705,True,2025-11-10 00:00:00,2025-11-10 00:00:08.205000
92,112,10,4286,True,2020-07-16 00:00:00,2020-07-16 00:00:09.888000
93,25,10,279,True,2021-02-20 00:00:00,2021-02-20 00:00:15.985000
94,16,1,285,True,2022-10-10 00:00:00,2022-10-10 00:00:11.786000
95,78,4,1401,False,2024-06-21 00:00:00,2024-06-21 00:00:19.154000
96,98,4,1118,True,2024-07-30 00:00:00,2024-07-30 00:00:21.320000
97,65,2,1811,True,2022-04-13 00:00:00,2022-04-13 00:00:00.206000
98,40,12,3642,True,2022-08-18 00:00:00,2022-08-18 00:00:11.786000
99,39,11,494,True,2022-10-30 00:00:00,2022-10-30 00:00:11.541000
100,78,5,3809,True,2021-01-05 00:00:00,2021-01-05 00:00:23.788000
101,52,9,882,False,2020-04-12 00:00:00,2020-04-12 00:00:12.561000
102,121,1,2918,True,2025-04-05 00:00:00,2025-04-05 00:00:18.095000
103,121,6,2723,True,2021-01-10 00:00:00,2021-01-10 00:00:14.161000
104,99,6,2666,True,2022-01-12 00:00:00,2022-01-12 00:00:09.071000
105,80,3,1551,True,2020-05-26 00:00:00,2020-05-26 00:00:09.764000
106,50,9,3560,True,2023-10-10 00:00:00,2023-10-10 00:00:02.332000
107,2,8,2106,True,2022-04-29 00:00:00,2022-04-29 00:00:17.504000
108,59,3,347,True,2025-03-07 00:00:00,2025-03-07 00:00:03.865000
109,31,6,3528,True,2023-08-19 00:00:00,2023-08-19 00:00:20.494000
110,91,5,4513,True,2022-08-09 00:00:00,2022-08-09 00:00:21.674000
111,94,8,2817,True,2022-06-21 00:00:00,2022-06-21 00:00:24.997000
112,41,3,2643,True,2022-10-20 00:00:00,2022-10-20 00:00:08.578000
113,70,1,3383,True,2024-04-01 00:00:00,2024-04-01 00:00:19.367000
114,111,4,3704,True,2020-08-05 00:00:00,2020-08-05 00:00:13.340000
115,52,4,572,True,2020-11-14 00:00:00,2020-11-14 00:00:12.368000
116,62,2,4085,True,2020-02-02 00:00:00,2020-02-02 00:00:10.547000
117,2,7,1716,False,2021-05-16 00:00:00,2021-05-16 00:00:04.626000
118,14,10,3895,True,2021-03-10 00:00:00,2021-03-10 00:00:00.667000
119,94,2,350,True,2020-02-17 00:00:00,2020-02-17 00:00:18.040000
120,117,12,3604,True,2025-08-20 00:00:00,2025-08-20 00:00:23.792000
121,24,3,1131,False,2022-11-08 00:00:00,2022-11-08 00:00:18.984000
122,90,9,4227,True,2023-05-30 00:00:00,2023-05-30 00:00:23.579000
123,67,11,3366,True,2023-11-20 00:00:00,2023-11-20 00:00:08.523000
124,1,5,1043,True,2021-04-23 00:00:00,2021-04-23 00:00:10.187000
125,38,7,2745,True,2022-07-27 00:00:00,2022-07-27 00:00:20.955000
126,19,8,272,True,2021-08-23 00:00:00,2021-08-23 00:00:03.685000
127,106,6,3028,True,2022-08-29 00:00:00,2022-08-29 00:00:24.092000
128,84,8,3724,True,2025-01-11 00:00:00,2025-01-11 00:00:04.232000
129,95,4,282,True,2022-07-26 00:00:00,2022-07-26 00:00:22.263000
130,83,10,3785,True,2024-12-22 00:00:00,2024-12-22 00:00:16.836000
131,55,2,2852,True,2020-02-11 00:00:00,2020-02-11 00:00:08.978000
132,67,9,1206,True,2024-04-03 00:00:00,2024-04-03 00:00:22.049000
133,17,11,4340,True,2023-03-13 00:00:00,2023-03-13 00:00:08.921000
134,34,1,908,True,2021-05-19 00:00:00,2021-05-19 00:00:05.822000
135,43,11,4694,True,2021-08-26 00:00:00,2021-08-26 00:00:18.504000
136,57,6,926,True,2024-10-11 00:00:00,2024-10-11 00:00:03.249000
137,110,5,1795,True,2024-10-23 00:00:00,2024-10-23 00:00:22.881000
138,87,6,1860,True,2020-05-30 00:00:00,2020-05-30 00:00:00.392000
139,35,1,4297,True,2020-12-20 00:00:00,2020-12-20 00:00:21.970000
140,104,11,4307,True,2020-11-04 00:00:00,2020-11-04 00:00:18.493000
141,22,9,4212,True,2022-03-06 00:00:00,2022-03-06 00:00:09.927000
142,43,11,1124,True,2022-09-13 00:00:00,2022-09-13 00:00:20.647000
143,87,10,1888,True,2024-10-13 00:00:00,2024-10-13 00:00:13.351000
144,11,8,3679,True,2023-06-04 00:00:00,2023-06-04 00:00:11.888000
145,100,10,3327,True,2020-05-10 00:00:00,2020-05-10 00:00:04.442000
146,121,10,4452,True,2020-11-16 00:00:00,2020-11-16 00:00:19.908000
147,52,7,4487,True,2024-06-28 00:00:00,2024-06-28 00:00:03.925000
148,53,6,4386,True,2020-03-15 00:00:00,2020-03-15 00:00:03.476000
149,68,5,949,True,2022-12-05 00:00:00,2022-12-05 00:00:18.366000
150,20,10,3625,True,2023-04-13 00:00:00,2023-04-13 00:00:05.137000
151,106,7,1952,True,2020-04-09 00:00:00,2020-04-09 00:00:13.521000
152,62,1,4243,True,2021-02-03 00:00:00,2021-02-03 00:00:13.481000
153,105,7,3879,True,2023-10-28 00:00:00,2023-10-28 00:00:05.019000
154,34,12,1087,True,2025-11-22 00:00:00,2025-11-22 00:00:02.669000
155,111,10,2331,True,2021-03-17 00:00:00,2021-03-17 00:00:10.939000
156,1,5,596,False,2022-08-07 00:00:00,2022-08-07 00:00:22.580000
157,2,3,836,True,2022-04-04 00:00:00,2022-04-04 00:00:12.587000
158,58,10,2455,True,2021-08-20 00:00:00,2021-08-20 00:00:02.319000
159,12,9,241,True,2022-05-06 00:00:00,2022-05-06 00:00:01.298000
160,1,5,3129,True,2020-10-08 00:00:00,2020-10-08 00:00:24.518000
